label_id,phrase_key
0,back_pain
1,bleeding
2,body_pain
3,breathing_difficulty
4,call_for_help
5,cannot_breathe
6,chest_pain
7,cold
8,constant_pain
9,cough
10,diabetes
11,diarrhea
12,dizzy
13,emergency_help
14,fainted
15,fever
16,food_allergy
17,getting_better
18,getting_worse
19,headache
20,help
21,high_blood_pressure
22,hurt
23,joint_pain
24,medicine
25,neck_pain
26,need_doctor
27,one_week
28,pain
29,past_problem
30,pregnant
31,runny_nose
32,shivering
33,sore_throat
34,started_slowly
35,started_suddenly
36,started_today
37,started_two_days_ago
38,started_yesterday
39,take_to_hospital
40,tired
41,toothache
42,very_sick
43,vomiting
44,water
45,weak
