reply_id,situation,english,hindi,odia
R001,General,"Hello, how can I help you?","नमस्ते, मैं आपकी कैसे मदद कर सकता हूँ?","ନମସ୍କାର, ମୁଁ ଆପଣଙ୍କୁ କିପରି ସାହାଯ୍ୟ କରିପାରିବି?"
R002,General,Please tell me what happened.,कृपया मुझे बताइए क्या हुआ।,ଦୟାକରି ମୋତେ କୁହନ୍ତୁ କଣ ହେଲା।
R003,General,Please wait here.,कृपया यहाँ प्रतीक्षा करें।,ଦୟାକରି ଏଠାରେ ଅପେକ୍ଷା କରନ୍ତୁ।
R004,General,Please stay calm.,कृपया शांत रहें।,ଦୟାକରି ଶାନ୍ତ ରୁହନ୍ତୁ।
R005,General,I understand.,मैं समझ गया हूँ।,ମୁଁ ବୁଝିପାରୁଛି।
R006,Fever,I will check your temperature.,मैं आपका तापमान जाँचूँगा।,ମୁଁ ଆପଣଙ୍କ ତାପମାତ୍ରା ଯାଞ୍ଚ କରିବି।
R007,Headache,Where exactly does your head hurt?,आपके सिर में ठीक कहाँ दर्द हो रहा है?,ଆପଣଙ୍କ ମୁଣ୍ଡର କେଉଁଠି ବ୍ୟଥା ହେଉଛି?
R008,Cough,How long have you been coughing?,आपको कितने समय से खाँसी हो रही है?,ଆପଣଙ୍କୁ କେତେ ଦିନ ହେଲା କାଶ ହେଉଛି?
R009,Dizziness,Please sit down and rest.,कृपया बैठकर आराम करें।,ଦୟାକରି ବସି ଆରାମ କରନ୍ତୁ।
R010,Cold,I will check your symptoms.,मैं आपके लक्षणों की जाँच करूँगा।,ମୁଁ ଆପଣଙ୍କ ଲକ୍ଷଣଗୁଡ଼ିକ ଯାଞ୍ଚ କରିବି।
R011,Shivering,Please sit down and keep yourself warm.,कृपया बैठें और अपने शरीर को गर्म रखें।,ଦୟାକରି ବସନ୍ତୁ ଏବଂ ନିଜ ଶରୀରକୁ ଗରମ ରଖନ୍ତୁ।
R012,Weakness,Please sit and rest.,कृपया बैठकर आराम करें।,ଦୟାକରି ବସି ଆରାମ କରନ୍ତୁ।
R013,Tired,Please take some rest.,कृपया थोड़ा आराम करें।,ଦୟାକରି ଟିକେ ଆରାମ କରନ୍ତୁ।
R014,Very sick,I will examine you now.,मैं अभी आपकी जाँच करूँगा।,ମୁଁ ବର୍ତ୍ତମାନ ଆପଣଙ୍କୁ ପରୀକ୍ଷା କରିବି।
R015,Pain,Please show me where it hurts.,जहाँ दर्द हो रहा है वहाँ मुझे दिखाइए।,ଯେଉଁଠି ବ୍ୟଥା ହେଉଛି ମୋତେ ଦେଖାନ୍ତୁ।
R016,Severe pain,How severe is the pain?,दर्द कितना तेज है?,ବ୍ୟଥା କେତେ ତୀବ୍ର?
R017,Constant pain,Is the pain constant?,क्या दर्द लगातार हो रहा है?,ବ୍ୟଥା କଣ ଲଗାତାର ହେଉଛି?
R018,Pain comes and goes,Does the pain come and go?,क्या दर्द आता-जाता रहता है?,ବ୍ୟଥା କଣ ଆସୁଛି ଓ ଯାଉଛି?
R019,Body pain,Please tell me where your body hurts.,कृपया बताइए आपके शरीर में कहाँ दर्द है।,ଆପଣଙ୍କ ଶରୀରର କେଉଁଠି ବ୍ୟଥା ହେଉଛି କୁହନ୍ତୁ।
R020,Chest pain,I will examine your chest.,मैं आपकी छाती की जाँच करूँगा।,ମୁଁ ଆପଣଙ୍କ ଛାତି ଯାଞ୍ଚ କରିବି।
R021,Vomiting,How many times have you vomited?,आपको कितनी बार उल्टी हुई है?,ଆପଣଙ୍କୁ କେତେଥର ବାନ୍ତି ହୋଇଛି?
R022,Diarrhea,How many times have you had diarrhea?,आपको कितनी बार दस्त हुए हैं?,ଆପଣଙ୍କୁ କେତେଥର ଝାଡ଼ା ହୋଇଛି?
R023,Sore throat,Please open your mouth. I will check your throat.,कृपया अपना मुँह खोलिए। मैं आपका गला जाँचूँगा।,ଦୟାକରି ଆପଣଙ୍କ ପାଟି ଖୋଲନ୍ତୁ। ମୁଁ ଆପଣଙ୍କ ଗଳା ଯାଞ୍ଚ କରିବି।
R024,Runny nose,I will check your nose.,मैं आपकी नाक की जाँच करूँगा।,ମୁଁ ଆପଣଙ୍କ ନାକ ଯାଞ୍ଚ କରିବି।
R025,Breathing difficulty,Please sit down. I will check your breathing.,कृपया बैठिए। मैं आपकी साँस की जाँच करूँगा।,ଦୟାକରି ବସନ୍ତୁ। ମୁଁ ଆପଣଙ୍କ ନିଶ୍ୱାସ ଯାଞ୍ଚ କରିବି।
R026,Cannot breathe,Stay calm. I will help you immediately.,शांत रहें। मैं तुरंत आपकी मदद करूँगा।,ଶାନ୍ତ ରୁହନ୍ତୁ। ମୁଁ ତୁରନ୍ତ ଆପଣଙ୍କୁ ସାହାଯ୍ୟ କରିବି।
R027,Duration,When did it start?,यह कब शुरू हुआ?,ଏହା କେବେ ଆରମ୍ଭ ହେଲା?
R028,Getting worse,I will examine you.,मैं आपकी जाँच करूँगा।,ମୁଁ ଆପଣଙ୍କୁ ପରୀକ୍ଷା କରିବି।
R029,Getting better,That is good. Please continue to rest.,यह अच्छी बात है। कृपया आराम करते रहें।,ଏହା ଭଲ କଥା। ଦୟାକରି ଆରାମ କରୁଥାନ୍ତୁ।
R030,Sudden onset,Did it start suddenly?,क्या यह अचानक शुरू हुआ?,ଏହା କଣ ହଠାତ୍ ଆରମ୍ଭ ହେଲା?
R031,Slow onset,Did it start slowly?,क्या यह धीरे-धीरे शुरू हुआ?,ଏହା କଣ ଧୀରେ ଧୀରେ ଆରମ୍ଭ ହେଲା?
R032,Taking medicine,Please show me the medicine you are taking.,"आप जो दवा ले रहे हैं, कृपया मुझे दिखाइए।","ଆପଣ ଯେଉଁ ଔଷଧ ଖାଉଛନ୍ତି, ଦୟାକରି ମୋତେ ଦେଖାନ୍ତୁ।"
R033,Daily medicine,Do you take this medicine every day?,क्या आप यह दवा हर दिन लेते हैं?,ଆପଣ କଣ ଏହି ଔଷଧ ପ୍ରତିଦିନ ଖାଆନ୍ତି?
